;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
10270;XY.110980;Ambrosia artemisiifolia L.;10,7;9,6;31;74,28;26,7;-3,6;30,3;20;2,3;20;0,8;922;100;48;21;278;158;278;176;6;111;0
10271;XY.110981;Ambrosia artemisiifolia L.;10,8;9,5;31;74,31;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;923;100;48;21;277;158;277;177;6;111;0
10272;XY.110998;Ambrosia artemisiifolia L.;10,8;9,5;31;74,41;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;924;100;48;21;279;158;279;176;6;111;0
10273;XY.111252;Fagus sylvatica L.;9,8;9,3;30;74,37;25,9;-4,4;30,3;19,1;1,4;19,1;-9999;956;107;48;23;304;156;304;173;342;275;3
10274;XY.111256;Fagus sylvatica L.;9,9;9,3;30;74,52;25,9;-4,4;30,3;19,2;1,4;19,2;-9999;959;107;48;23;304;157;304;174;331;321;1
10275;XY.111263;Fagus sylvatica L.;9,9;9,3;30;74,68;25,9;-4,4;30,3;19,2;1,4;19,2;-9999;956;107;48;23;304;156;304;173;331;321;1
10276;XY.111263;Fagus sylvatica L.;9,9;9,3;30;74,68;25,9;-4,4;30,3;19,2;1,4;19,2;-9999;956;107;48;23;304;156;304;173;331;321;1
10277;XY.111271;Fagus sylvatica L.;10,5;9,5;31;74,64;26,6;-3,9;30,5;19,9;2,1;19,9;0,6;926;103;46;23;293;151;293;168;271;186;0
10278;XY.124551;Carpinus betulus L.;11,2;9,3;31;70,59;27;-2,1;29,1;7;3,2;20,2;2;1154;127;73;18;362;228;282;264;246;226;1
10279;XY.124558;Carpinus betulus L.;11;9,2;31;70,57;26,8;-2,3;29,1;6,8;3;20;1,8;1162;128;74;19;365;229;283;265;236;196;1
10280;XY.124569;Carpinus betulus L.;11;9,2;31;70,76;26,8;-2,4;29,2;6,8;2,9;20;1,8;1164;127;74;18;364;229;286;265;175;245;0
10281;XY.124571;Carpinus betulus L.;11;9,2;31;70,57;26,8;-2,3;29,1;6,8;3;20;1,8;1162;128;74;19;365;229;283;265;354;220;0
10282;XY.124573;Carpinus betulus L.;11;9,2;31;70,74;26,8;-2,4;29,2;6,8;2,9;20;1,8;1158;127;74;18;362;229;283;264;354;220;0
10283;XY.124583;Carpinus betulus L.;11,1;9,3;31;70,34;26,9;-2,3;29,2;6,9;3;19,9;1,9;1157;127;74;18;362;229;283;264;354;220;0
10284;XY.124608;Carpinus betulus L.;11;9,2;31;70,74;26,8;-2,4;29,2;6,8;2,9;20;1,8;1158;127;74;18;362;229;283;264;102;196;0
10285;XY.124610;Carpinus betulus L.;11;9,2;31;70,74;26,8;-2,4;29,2;6,8;2,9;20;1,8;1158;127;74;18;362;229;283;264;328;209;0
10286;XY.124612;Carpinus betulus L.;10,9;9,2;31;70,95;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1158;126;73;18;361;227;286;262;100;188;1
10287;XY.124630;Carpinus betulus L.;10,8;9,1;31;70,36;26,6;-2,4;29;6,7;2,7;19,7;1,6;1188;131;77;18;375;238;286;275;185;218;3
10288;XY.124632;Carpinus betulus L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;185;218;3
10289;XY.124635;Carpinus betulus L.;10,7;9,1;31;70,44;26,5;-2,5;29;6,6;2,6;19,6;1,5;1188;131;76;18;374;236;288;273;95;403;3
10290;XY.124637;Carpinus betulus L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;166;362;4
10291;XY.124646;Carpinus betulus L.;10,8;9,1;31;70,36;26,6;-2,4;29;6,7;2,7;19,7;1,6;1188;131;77;18;375;238;286;275;138;235;2
10292;XY.124649;Carpinus betulus L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;118;254;4
10293;XY.124653;Carpinus betulus L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;118;254;4
10294;XY.124654;Carpinus betulus L.;10,8;9,1;31;70,36;26,6;-2,4;29;6,7;2,7;19,7;1,6;1188;131;77;18;375;238;286;275;138;235;2
10295;XY.124663;Carpinus betulus L.;10,6;9,1;31;70,29;26,4;-2,6;29;6,5;2,5;19,5;1,4;1192;131;77;18;375;238;289;275;118;254;4
10296;XY.124666;Carpinus betulus L.;11,3;9,3;32;69,96;27;-2;29;7,1;6,5;20,1;2,1;1166;129;75;19;370;232;279;270;138;235;2
10297;XY.124673;Carpinus betulus L.;11,4;9,3;32;70,09;27,1;-1,9;29;7,2;6,6;20,3;2,2;1164;129;75;19;370;232;277;270;177;183;0
10298;XY.124676;Carpinus betulus L.;10,6;9,1;31;70,29;26,4;-2,6;29;6,5;2,5;19,5;1,4;1192;131;77;18;375;238;289;275;118;254;4
10299;XY.124683;Carpinus betulus L.;11,2;9,3;31;70,44;27;-2,1;29,1;7;3,1;20,1;2;1160;127;74;18;364;229;283;265;63;191;1
